inventory_id,product_id,sku,warehouse_id,warehouse_name,warehouse_location,stock_quantity,reserved_quantity,available_quantity,stock_status,reorder_level,reorder_quantity,supplier_name,supplier_contact,expected_restock_date,last_restocked_date,inventory_last_updated
b42a91ff-3dc6-45b3-b56b-2b292dd1c1e0,30,ES-EXTERN-030,WH-SOUTH-01,South Distribution Center,"Dallas, TX, USA",262,26,236,In Stock,45,120,DataVault Manufacturing,procurement@datavaultmanuf.com | +1-722-219-8211,,2025-09-30,2026-06-29
58801455-b34b-4c9e-b48d-9db5a84e42a6,31,ES-PENDRI-031,WH-EAST-01,East Distribution Center,"Newark, NJ, USA",133,19,114,In Stock,45,120,DataVault Manufacturing,contact@datavaultmanuf.com | +1-833-942-2971,,2025-10-10,2026-01-06
ee0843b0-2eb7-44eb-8922-5ab7be3bf4b7,32,EN-WIFIRO-032,WH-SOUTH-01,South Distribution Center,"Dallas, TX, USA",62,10,52,In Stock,45,120,SignalCore Networking Co.,sales@signalcorenetw.com | +1-773-258-5071,,2026-04-23,2026-07-03
43f1e690-4554-4a2d-be06-d5fe9bf4cb42,33,EE-EXTENS-033,WH-EAST-01,East Distribution Center,"Newark, NJ, USA",126,8,118,In Stock,45,120,SafeCircuit Manufacturing,procurement@safecircuitman.com | +1-228-978-2038,,2025-09-14,2026-05-31
ee876c44-3c79-42f0-8c7f-0345e8813945,34,EPB-INVERT-034,WH-SOUTH-01,South Distribution Center,"Dallas, TX, USA",257,10,247,In Stock,45,120,SteadyVolt Industries,orders@steadyvoltindu.com | +1-909-483-8411,,2026-04-10,2026-06-26
a68b69b3-702b-4ce0-a2bc-ecfa0f5ac497,35,EHA-WATERP-035,WH-NORTH-01,North Regional Hub,"Minneapolis, MN, USA",298,17,281,In Stock,45,120,CleanTech Appliances Ltd.,procurement@cleantechappli.com | +1-465-772-4319,,2026-04-11,2026-05-12
d1ec703a-78c4-46c1-a395-9cbb809e07c4,36,EHA-VACUUM-036,WH-NORTH-01,North Regional Hub,"Minneapolis, MN, USA",19,4,15,Low Stock,45,120,PureAir Manufacturing Co.,sales@pureairmanufac.com | +1-887-446-8017,2026-08-23,2025-09-26,2026-05-10
e4ac04aa-a3ec-4950-97e3-ded10bbb8dec,37,EHA-IRONBO-037,WH-CENT-01,Central Warehouse,"Kansas City, MO, USA",9,6,3,Low Stock,45,120,Homeline Appliances Inc.,supply@homelineapplia.com | +1-340-678-4597,2026-08-07,2025-09-26,2026-04-01
de4e32c1-d9d7-498c-877e-f0a0b917ffe6,38,EPC-HAIRDR-038,WH-NORTH-01,North Regional Hub,"Minneapolis, MN, USA",81,12,69,In Stock,45,120,PureCare Devices Ltd.,contact@purecaredevice.com | +1-727-613-6556,,2025-10-17,2026-02-08
b0d64411-5ab0-4dd2-8788-41cc6f77d719,39,EPC-TRIMME-039,WH-CENT-01,Central Warehouse,"Kansas City, MO, USA",242,6,236,In Stock,45,120,VitalCare Personal Tech,supply@vitalcareperso.com | +1-219-546-8514,,2026-01-05,2026-01-28
5b7a3e18-c713-411e-a337-4c703d9f86f4,40,EPC-ELECTR-040,WH-EAST-01,East Distribution Center,"Newark, NJ, USA",268,22,246,In Stock,45,120,VitalCare Personal Tech,procurement@vitalcareperso.com | +1-502-724-2053,,2026-02-07,2026-05-02
aadb8eb4-8a8c-4034-94f7-5a8d5409343e,41,EPC-DIGITA-041,WH-WEST-01,West Fulfillment Center,"Reno, NV, USA",107,29,78,In Stock,45,120,DailyGlow Manufacturing,supply@dailyglowmanuf.com | +1-240-385-5430,,2025-09-17,2025-10-30
e2cfa499-0f70-4e3b-bd47-271d68c369e8,42,HF-STUDYT-042,WH-NORTH-01,North Regional Hub,"Minneapolis, MN, USA",42,13,29,In Stock,9,24,BrightSpace Furnishings,orders@brightspacefur.com | +1-749-727-9103,,2026-07-07,2026-07-15
47942a1b-fda0-4be7-ad02-26114b9b0d5a,43,HL-LEDCEI-043,WH-CENT-01,Central Warehouse,"Kansas City, MO, USA",13,2,11,Low Stock,45,120,Luminous Home Co.,supply@luminoushomeco.com | +1-217-849-2451,2026-08-09,2025-08-24,2026-03-29
a7aef9cc-b43c-407e-91ea-3c8ba47afb99,44,HF-SOFASE-044,WH-SOUTH-01,South Distribution Center,"Dallas, TX, USA",39,2,37,In Stock,9,24,Comfort Living Manufacturing,sales@comfortlivingm.com | +1-664-211-6556,,2025-11-16,2025-12-03
04e12d80-db53-4fa8-a229-08314ca6fd59,45,HF-DINING-045,WH-CENT-01,Central Warehouse,"Kansas City, MO, USA",31,13,18,Low Stock,9,24,UrbanNest Furnishings Inc.,orders@urbannestfurni.com | +1-312-365-5290,2026-08-06,2026-06-09,2026-06-11
eea1de1a-e064-4679-bc96-6fd92dec991d,46,HF-BEDFRA-046,WH-WEST-01,West Fulfillment Center,"Reno, NV, USA",7,5,2,Low Stock,9,24,UrbanNest Furnishings Inc.,orders@urbannestfurni.com | +1-496-656-9193,2026-09-07,2026-01-01,2026-03-20
f075eeab-3675-42d3-ae9e-dda458575e3d,47,HF-MATTRE-047,WH-CENT-01,Central Warehouse,"Kansas City, MO, USA",40,8,32,In Stock,9,24,Oakridge Furniture Co.,sales@oakridgefurnit.com | +1-218-950-9284,,2025-08-04,2025-12-10
22479e17-c600-42f1-9a69-abdbd259f69d,48,HF-WARDRO-048,WH-SOUTH-01,South Distribution Center,"Dallas, TX, USA",62,6,56,In Stock,9,24,Comfort Living Manufacturing,sales@comfortlivingm.com | +1-874-865-8080,,2026-03-26,2026-04-26
7b4b3a06-8187-43f4-aeaf-3d6902bf4f69,49,HF-BOOKSH-049,WH-SOUTH-01,South Distribution Center,"Dallas, TX, USA",28,12,16,Low Stock,9,24,Comfort Living Manufacturing,orders@comfortlivingm.com | +1-923-946-3289,2026-08-11,2025-12-30,2026-02-26
7dff5727-c838-48c6-b17a-c8d345fbe4ac,50,HF-OFFICE-050,WH-EAST-01,East Distribution Center,"Newark, NJ, USA",57,11,46,In Stock,9,24,Oakridge Furniture Co.,supply@oakridgefurnit.com | +1-641-367-1907,,2025-09-30,2025-10-07
